# abs_vel_axis  fit_absorption_spectrum  abs_noise_env_prime  em_vel_axis  fit_emission_spectrum  em_spectrum_err
-2.716512202000000116e+02 5.893423899999998827e-01 2.038376493145419577e-01 -1.129561861399999998e+02 -5.812548885207905469e-01 6.610385400000000189e+00
-2.712388677199999734e+02 8.175376566666665568e-01 2.111382389215652744e-01 -1.133685386100000017e+02 -6.078329304596702398e-01 7.087337999999999916e+00
-2.708265152499999999e+02 1.015926433333333101e+00 2.150993127171221819e-01 -1.137808910800000035e+02 3.820620740914436819e+00 3.665931200000000167e+00
-2.704141627800000265e+02 9.932761533333331894e-01 2.185146637018604288e-01 -1.141932435500000054e+02 3.109798542288543910e+00 6.900060700000000047e+00
-2.700018103099999962e+02 9.345539533333332427e-01 2.151578233002084117e-01 -1.146055960199999930e+02 1.932905333662650493e+00 6.176654300000000042e+00
-2.695894578400000228e+02 9.294141533333332150e-01 2.176249144713446604e-01 -1.150179484899999949e+02 1.376454450571040766e-01 8.722775000000000389e+00
-2.691771053699999925e+02 9.801142333333332513e-01 2.209455740203213614e-01 -1.154303009700000047e+02 4.511700764515578221e-01 7.939451000000000036e+00
-2.687647529000000191e+02 9.185260133333331689e-01 2.224236563527475230e-01 -1.158426534400000065e+02 8.648342845126779643e-01 5.998249500000000012e+00
-2.683524004299999888e+02 8.889006133333332560e-01 2.206102878555968316e-01 -1.162550059099999942e+02 2.286746225886785222e+00 5.469831499999999735e+00
-2.679400479600000153e+02 9.655207799999998564e-01 2.192328137027015900e-01 -1.166673583799999960e+02 8.909316345942253079e-01 4.903906000000000098e+00
-2.675276954899999851e+02 1.150135233333333229e+00 2.217240521679135767e-01 -1.170797108499999979e+02 3.111918396833246447e-02 7.579689000000000121e+00
-2.671153430100000037e+02 1.285160399999999870e+00 2.208438049781899504e-01 -1.174920633199999997e+02 7.503293200910617078e-02 9.086620999999999171e+00
-2.667029905399999734e+02 1.320079333333333160e+00 2.226819771775103152e-01 -1.179044157900000016e+02 1.160563119403559718e+00 7.744943600000000039e+00
-2.662906380700000000e+02 1.150420916666666571e+00 2.257960300659328789e-01 -1.183167682699999972e+02 1.546276782798013061e+00 7.900968599999999675e+00
-2.658782856000000265e+02 9.991804166666665710e-01 2.275400439735699165e-01 -1.187291207399999990e+02 -9.262454091408667267e-01 5.511600999999999750e+00
-2.654659331299999963e+02 1.024305749999999904e+00 2.284921754213838363e-01 -1.191414732100000009e+02 -3.272207707766759288e+00 5.886064000000000185e+00
-2.650535806600000228e+02 1.173089366666666633e+00 2.304653142391344667e-01 -1.195538256800000028e+02 -5.424959246392652368e+00 1.004007400000000061e+01
-2.646412281899999925e+02 1.249618799999999919e+00 2.277275249050336459e-01 -1.199661781500000046e+02 -4.091146149018545231e+00 6.721398999999999901e+00
-2.642288757200000191e+02 1.185132099999999911e+00 2.294849643920877647e-01 -1.203785306200000065e+02 -2.667838307624091243e+00 6.296410999999999980e+00
-2.638165232499999888e+02 1.184689600000000009e+00 2.279082805068184392e-01 -1.207908831000000021e+02 -1.047986310962971013e+00 6.146191599999999866e+00
-2.634041707800000154e+02 1.081043453333333293e+00 2.306598157549499262e-01 -1.212032355700000039e+02 -1.423516488901851007e+00 6.080238300000000429e+00
-2.629918182999999772e+02 9.645485199999999093e-01 2.262265317360980799e-01 -1.216155880400000058e+02 -1.562993456527743907e+00 4.840209999999999901e+00
-2.625794658300000037e+02 8.793397199999998248e-01 2.197193466008904583e-01 -1.220279405099999934e+02 -1.935579347086970214e+00 1.065316999999999936e+01
-2.621671133599999735e+02 9.955294999999998451e-01 2.149341999442595796e-01 -1.224402929799999953e+02 -1.510233847112862904e+00 6.510710200000000114e+00
-2.617547608900000000e+02 1.091684133333333140e+00 2.175791597772411545e-01 -1.228526454499999971e+02 -9.635752067184094605e-01 9.640776999999999930e+00
-2.613424084200000266e+02 1.027226646666666632e+00 2.296299653955066189e-01 -1.232649979300000069e+02 -1.638100638657289165e+00 5.495009999999999728e+00
-2.609300559499999963e+02 1.017423280000000041e+00 2.380581383830147890e-01 -1.236773503999999946e+02 -5.161537725295022305e-01 9.923920000000000741e+00
-2.605177034800000229e+02 1.119042446666666635e+00 2.389340411430986577e-01 -1.240897028699999964e+02 -2.175750444887284141e-01 4.734834700000000396e+00
-2.601053510099999926e+02 1.182228066666666688e+00 2.306665919409789378e-01 -1.245020553399999983e+02 2.817211163552044706e+00 5.431031700000000129e+00
-2.596929985400000191e+02 1.112703113333333160e+00 2.291050751748040515e-01 -1.249144078100000002e+02 2.503641284926151567e+00 7.297423000000000215e+00
-2.592806460699999889e+02 1.037839913333333142e+00 2.303054457112968245e-01 -1.253267602800000020e+02 5.184125342966925842e+00 6.639999000000000429e+00
-2.588682935900000075e+02 1.188316079999999886e+00 2.342750109975580142e-01 -1.257391127500000039e+02 3.563427714361379728e+00 6.968510000000000204e+00
-2.584559411199999772e+02 1.278284699999999940e+00 2.314566301374564317e-01 -1.261514652299999995e+02 4.278531645755832891e+00 5.726992599999999989e+00
-2.580435886500000038e+02 1.137636399999999881e+00 2.341291629357202531e-01 -1.265638177000000013e+02 -2.801122028497129435e-01 9.755881000000000469e+00
-2.576312361799999735e+02 9.431162999999999075e-01 2.350669831404025578e-01 -1.269761701700000032e+02 -6.808202848089391912e-01 6.820105599999999768e+00
-2.572188837100000001e+02 8.530591999999999064e-01 2.403898154571525170e-01 -1.273885226400000050e+02 -4.679291167681654540e-01 8.461455000000000837e+00
-2.568065312400000266e+02 9.203641466666665494e-01 2.375813353782547099e-01 -1.278008751100000069e+02 2.101634417939274968e+00 7.066456999999999766e+00
-2.563941787699999963e+02 8.935373966666665391e-01 2.409811459289787350e-01 -1.282132275799999945e+02 4.611361312667061618e+00 6.925904799999999639e+00
-2.559818262999999945e+02 8.906638633333332500e-01 2.387022763873425379e-01 -1.286255800600000043e+02 5.779765640728181886e+00 8.912943000000000282e+00
-2.555694738299999926e+02 9.145889166666665293e-01 2.444434139786020310e-01 -1.290379325300000062e+02 4.351356607122635722e+00 4.698261300000000418e+00
-2.551571213599999908e+02 9.005511999999998851e-01 2.461889244222310036e-01 -1.294502850000000080e+02 3.338876415163409828e+00 6.811141000000000112e+00
-2.547447688800000094e+02 7.620133666666665251e-01 2.498165941462850981e-01 -1.298626374700000099e+02 1.212875043204183712e+00 8.721685000000000798e+00
-2.543324164100000075e+02 5.392489766666666018e-01 2.472321558275389630e-01 -1.302749899400000118e+02 1.202518464244957341e+00 9.032906000000000546e+00
-2.539200639400000057e+02 3.399747166666665654e-01 2.390692658420436045e-01 -1.306873424100000136e+02 -1.910096101027255244e+00 4.926131700000000002e+00
